maximum number of tiles in grid [#],GLOBE size [B],GLOBE+GSHHG size [B],GLOBE+NE size [B],GSHHG size [B],NE size [B],"OS Terrain 50" size [B],total size [B]
358,14645512,29772773,20412527,1188085,1621876,0,67640773
359,14645512,29772773,20412527,1188085,1621876,0,67640773
360,14645512,29772773,20412527,1188085,1621876,0,67640773
361,14645512,29772773,20412527,1188085,1621876,0,67640773
362,14645512,29772773,20412527,1188085,1621876,0,67640773
363,14645512,29772773,20412527,1188085,1621876,0,67640773
364,14645512,29772773,20412527,1188085,1621876,0,67640773
365,14645512,29772773,20412527,1188085,1621876,0,67640773
366,14645512,29772773,20412527,1188085,1621876,0,67640773
367,14645512,29772773,20412527,1188085,1621876,0,67640773
368,14645512,29772773,20412527,1188085,1621876,0,67640773
369,14645512,29772773,20412527,1188085,1621876,0,67640773
370,14645512,29772773,20412527,1188085,1621876,0,67640773
371,14645512,29772773,20412527,1188085,1621876,0,67640773
372,14645512,29772773,20412527,1188085,1621876,0,67640773
373,14645512,29772773,20412527,1188085,1621876,0,67640773
374,14645512,29772773,20412527,1188085,1621876,0,67640773
375,14645512,29772773,20412527,1188085,1621876,0,67640773
376,14645512,29772773,20412527,1188085,1621876,0,67640773
377,14645512,29772773,20412527,1188085,1621876,0,67640773
378,14645512,29772773,20412527,1188085,1621876,0,67640773
379,14645512,29772773,20412527,1188085,1621876,0,67640773
380,14645512,29772773,20412527,1188085,1621876,0,67640773
381,14645512,29772773,20412527,1188085,1621876,0,67640773
382,14645512,29772773,20412527,1188085,1621876,0,67640773
383,14645512,29772773,20412527,1188085,1621876,0,67640773
384,14645512,29772773,20412527,1188085,1621876,0,67640773
385,14645512,29772773,20412527,1188085,1621876,0,67640773
386,14645512,29772773,20412527,1188085,1621876,0,67640773
387,14645512,29772773,20412527,1188085,1621876,0,67640773
388,14645512,29772773,20412527,1188085,1621876,0,67640773
389,14645512,29772773,20412527,1188085,1621876,0,67640773
390,14645512,29772773,20412527,1188085,1621876,0,67640773
391,14645512,29772773,20412527,1188085,1621876,0,67640773
392,14645512,29772773,20412527,1188085,1621876,0,67640773
393,14645512,29772773,20412527,1188085,1621876,0,67640773
394,14645512,29772773,20412527,1188085,1621876,0,67640773
395,14645512,29772773,20412527,1188085,1621876,0,67640773
396,14645512,29772773,20412527,1188085,1621876,0,67640773
397,14645512,29772773,20412527,1188085,1621876,0,67640773
398,14645512,29772773,20412527,1188085,1621876,0,67640773
399,14645512,29772773,20412527,1188085,1621876,0,67640773
400,14645512,29772773,20412527,1188085,1621876,0,67640773
401,14645512,29772773,20412527,1188085,1621876,0,67640773
402,14645512,29772773,20412527,1188085,1621876,0,67640773
403,14645512,29772773,20412527,1188085,1621876,0,67640773
404,14645512,29772773,20412527,1188085,1621876,0,67640773
405,14645512,29772773,20412527,1188085,1621876,0,67640773
406,14645512,29772773,20412527,1188085,1621876,0,67640773
407,14645512,29772773,20412527,1188085,1621876,0,67640773
408,14645512,29772773,20412527,1188085,1621876,0,67640773
409,14645512,29772773,20412527,1188085,1621876,0,67640773
410,14645512,29772773,20412527,1188085,1621876,0,67640773
411,14645512,29772773,20412527,1188085,1621876,0,67640773
412,14645512,29772773,20412527,1188085,1621876,0,67640773
413,14645512,29772773,20412527,1188085,1621876,0,67640773
414,14645512,29772773,20412527,1188085,1621876,0,67640773
415,14645512,29772773,20412527,1188085,1621876,0,67640773
416,14645512,29772773,20412527,1188085,1621876,0,67640773
417,14645512,29772773,20412527,1188085,1621876,0,67640773
418,14645512,29772773,20412527,1188085,1621876,0,67640773
419,14645512,29772773,20412527,1188085,1621876,0,67640773
420,14645512,29772773,20412527,1188085,1621876,0,67640773
421,14645512,29772773,20412527,1188085,1621876,0,67640773
422,14645512,29772773,20412527,1188085,1621876,0,67640773
423,14645512,29772773,20412527,1188085,1621876,0,67640773
424,14645512,29772773,20412527,1188085,1621876,0,67640773
425,14645512,29772773,20412527,1188085,1621876,0,67640773
426,14645512,29772773,20412527,1188085,1621876,0,67640773
427,14645512,29772773,20412527,1188085,1621876,0,67640773
428,14645512,29772773,20412527,1188085,1621876,0,67640773
429,14645512,29772773,20412527,1188085,1621876,0,67640773
430,14645512,29772773,20412527,1188085,1621876,0,67640773
431,14645512,29772773,20412527,1188085,1621876,0,67640773
432,14645512,29772773,20412527,1188085,1621876,0,67640773
433,14645512,29772773,20412527,1188085,1621876,0,67640773
434,14645512,29772773,20412527,1188085,1621876,0,67640773
435,14645512,29772773,20412527,1188085,1621876,0,67640773
436,14645512,29772773,20412527,1188085,1621876,0,67640773
437,14645512,29772773,20412527,1188085,1621876,0,67640773
438,14645512,29772773,20412527,1188085,1621876,0,67640773
439,14645512,29772773,20412527,1188085,1621876,0,67640773
440,14645512,29772773,20412527,1188085,1621876,0,67640773
441,14645512,29772773,20412527,1188085,1621876,0,67640773
442,14645512,29772773,20412527,1188085,1621876,0,67640773
443,14645512,29772773,20412527,1188085,1621876,0,67640773
444,14645512,29772773,20412527,1188085,1621876,0,67640773
445,14645512,29772773,20412527,1188085,1621876,0,67640773
446,14645512,29772773,20412527,1188085,1621876,0,67640773
447,14645512,29772773,20412527,1188085,1621876,0,67640773
448,14645512,29772773,20412527,1188085,1621876,0,67640773
449,14645512,29772773,20412527,1188085,1621876,0,67640773
450,14645512,29772773,20412527,1188085,1621876,0,67640773
451,14645512,29772773,20412527,1188085,1621876,0,67640773
452,14645512,29772773,20412527,1188085,1621876,0,67640773
453,14645512,29772773,20412527,1188085,1621876,0,67640773
454,14645512,29772773,20412527,1188085,1621876,0,67640773
455,14645512,29772773,20412527,1188085,1621876,0,67640773
456,14645512,29772773,20412527,1188085,1621876,0,67640773
457,14645512,29772773,20412527,1188085,1621876,0,67640773
458,14645512,29772773,20412527,1188085,1621876,0,67640773
459,14645512,29772773,20412527,1188085,1621876,0,67640773
460,14645512,29772773,20412527,1188085,1621876,0,67640773
461,14645512,29772773,20412527,1188085,1621876,0,67640773
462,14645512,29772773,20412527,1188085,1621876,0,67640773
463,14645512,29772773,20412527,1188085,1621876,0,67640773
464,14645512,29772773,20412527,1188085,1621876,0,67640773
465,14645512,29772773,20412527,1188085,1621876,0,67640773
466,14645512,29772773,20412527,1188085,1621876,0,67640773
467,14645512,29772773,20412527,1188085,1621876,0,67640773
468,14645512,29772773,20412527,1188085,1621876,0,67640773
469,14645512,29772773,20412527,1188085,1621876,0,67640773
470,14645512,29772773,20412527,1188085,1621876,0,67640773
471,14645512,29772773,20412527,1188085,1621876,0,67640773
472,14645512,29772773,20412527,1188085,1621876,0,67640773
473,14645512,29772773,20412527,1188085,1621876,0,67640773
474,14645512,29772773,20412527,1188085,1621876,0,67640773
475,14645512,29772773,20412527,1188085,1621876,0,67640773
476,14645512,29772773,20412527,1188085,1621876,0,67640773
477,14645512,29772773,20412527,1188085,1621876,0,67640773
478,14645512,29772773,20412527,1188085,1621876,0,67640773
479,14645512,29772773,20412527,1188085,1621876,0,67640773
480,14645512,29772773,20412527,1188085,1621876,0,67640773
481,14645512,29772773,20412527,1188085,1621876,0,67640773
482,14645512,29772773,20412527,1188085,1621876,0,67640773
483,14645512,29772773,20412527,1188085,1621876,0,67640773
484,14645512,29772773,20412527,1188085,1621876,0,67640773
485,14645512,29772773,20412527,1188085,1621876,0,67640773
486,14645512,29772773,20412527,1188085,1621876,0,67640773
487,14645512,29772773,20412527,1188085,1621876,0,67640773
488,14645512,29772773,20412527,1188085,1621876,0,67640773
489,14645512,29772773,20412527,1188085,1621876,0,67640773
490,14645512,29772773,20412527,1188085,1621876,0,67640773
491,14645512,29772773,20412527,1188085,1621876,0,67640773
492,14645512,29772773,20412527,1188085,1621876,0,67640773
493,14645512,29772773,20412527,1188085,1621876,0,67640773
494,14645512,29772773,20412527,1188085,1621876,0,67640773
495,14645512,29772773,20412527,1188085,1621876,0,67640773
496,14645512,29772773,20412527,1188085,1621876,0,67640773
497,14645512,29772773,20412527,1188085,1621876,0,67640773
498,14645512,29772773,20412527,1188085,1621876,0,67640773
499,14645512,29772773,20412527,1188085,1621876,0,67640773
500,14645512,29772773,20412527,1188085,1621876,0,67640773
501,14645512,29772773,20412527,1188085,1621876,0,67640773
502,14645512,29772773,20412527,1188085,1621876,0,67640773
503,14645512,29772773,20412527,1188085,1621876,0,67640773
504,14645512,29772773,20412527,1188085,1621876,0,67640773
505,14645512,29772773,20412527,1188085,1621876,0,67640773
506,14645512,29772773,20412527,1188085,1621876,0,67640773
507,14645512,29772773,20412527,1188085,1621876,0,67640773
508,14645512,29772773,20412527,1188085,1621876,0,67640773
509,14645512,29772773,20412527,1188085,1621876,0,67640773
510,14645512,29772773,20412527,1188085,1621876,0,67640773
511,14645512,29772773,20412527,1188085,1621876,0,67640773
512,14645512,29772773,20412527,3043886,4211899,0,72086597
513,14645512,29772773,20412527,3043886,4211899,0,72086597
514,14645512,29772773,20412527,3043886,4211899,0,72086597
515,14645512,29772773,20412527,3043886,4211899,0,72086597
516,14645512,29772773,20412527,3043886,4211899,0,72086597
517,14645512,29772773,20412527,3043886,4211899,0,72086597
518,14645512,29772773,20412527,3043886,4211899,0,72086597
519,14645512,29772773,20412527,3043886,4211899,0,72086597
520,14645512,29772773,20412527,3043886,4211899,0,72086597
521,14645512,29772773,20412527,3043886,4211899,0,72086597
522,14645512,29772773,20412527,3043886,4211899,0,72086597
523,14645512,29772773,20412527,3043886,4211899,0,72086597
524,14645512,29772773,20412527,3043886,4211899,0,72086597
525,14645512,29772773,20412527,3043886,4211899,0,72086597
526,14645512,29772773,20412527,3043886,4211899,0,72086597
527,14645512,29772773,20412527,3043886,4211899,0,72086597
528,14645512,29772773,20412527,3043886,4211899,0,72086597
529,14645512,29772773,20412527,3043886,4211899,0,72086597
530,14645512,29772773,20412527,3043886,4211899,0,72086597
